State,N,P,K,temperature,rainfall,ph,Crop,Yield
Himachal Pradesh,46,49,21,30.74645057030122,68.02171867533244,6.38,Rice,6.04
Goa,67,27,18,34.111182015420596,80.9212024549324,7.06,Cotton,7.18
Assam,80,38,98,25.62559061009947,344.8469428313655,7.79,Rice,14.51
West Bengal,63,79,80,29.17762714377928,340.8710954240197,6.8,Rice,14.4
Mizoram,117,62,88,21.127036017685956,111.52621342379658,6.01,Cotton,7.8
Haryana,36,94,104,27.44213779785626,121.53641166589607,6.38,Wheat,7.11
Jharkhand,80,15,80,27.120814329174053,180.09488717396198,6.17,Rice,9.71
Rajasthan,60,91,60,30.011330568398627,120.878993938023,7.72,Wheat,7.83
Punjab,49,37,87,28.98090740574478,83.03865420501164,7.83,Wheat,6.37
Haryana,39,17,29,29.59893548001275,76.04958193643077,7.07,Wheat,6.02
Jharkhand,33,17,86,20.548992101540463,165.89409890319763,6.66,Maize,7.69
Assam,53,31,75,32.07806933989863,347.83100275032905,7.85,Rice,14.7
Goa,58,95,82,30.808629436982862,91.55193152679303,8.05,Cotton,6.99
Kerala,114,33,51,27.71149961379682,209.62551351233031,5.82,Rice,11.34
West Bengal,97,86,116,27.261040098194275,234.59849284916925,6.29,Rice,11.7
Bihar,87,88,47,25.26592697070403,113.38232339645695,6.31,Cotton,7.67
Madhya Pradesh,38,82,36,24.269319306148702,72.06787231654725,6.04,Cotton,5.35
Maharashtra,49,58,143,32.56556319000164,115.55887883371764,6.95,Cotton,7.7
Rajasthan,115,52,14,30.487637417668637,196.07788951995667,6.77,Wheat,11.23
Chhattisgarh,56,42,133,24.975495458237102,239.5094426821059,5.9,Maize,10.8
Manipur,57,20,12,21.996760138860974,169.31208599794064,6.78,Sugarcane,8.42
Goa,70,19,67,23.511297329482716,208.61528485775474,7.66,Rice,10.01
Uttarakhand,90,37,78,28.31119336530891,157.24013784109127,6.8,Sugarcane,9.35
Odisha,80,56,55,28.492967926695744,60.66515530764423,6.74,Rice,6.27
West Bengal,72,64,49,33.22442273210895,230.8972038996385,8.06,Rice,11.69
Rajasthan,36,69,48,26.176350362787456,138.09498126274235,8.44,Rice,7.48
Andhra Pradesh,91,52,116,24.07527271923814,190.67130075937345,6.69,Rice,9.95
Gujarat,20,97,57,30.730915305129685,112.35046974197913,6.6,Cotton,6.84
Meghalaya,76,53,29,30.87094889138418,173.05602193309215,8.03,Sugarcane,9.8
Chhattisgarh,85,22,117,23.499044333616638,218.13371997896488,7.39,Rice,10.59
Andhra Pradesh,86,84,70,31.98922696640677,120.92776866547894,7.48,Wheat,8.55
Kerala,56,89,38,30.073774497226736,218.27258868050455,5.95,Rice,10.68
West Bengal,92,70,102,26.14473429881287,222.82972171862698,5.69,Rice,11.14
Tamil Nadu,113,38,87,30.531831789433866,79.79433903180825,6.25,Maize,7.71
Punjab,72,32,132,21.204299386701642,109.78921098280321,6.7,Wheat,6.85
Telangana,95,17,96,33.05365569717448,107.32380699211198,5.86,Maize,8.43
Haryana,93,63,66,28.973979469849418,144.8734653769092,7.47,Wheat,9.1
Bihar,41,43,111,23.12614858458153,214.1236188120419,6.17,Cotton,9.56
Manipur,99,86,13,27.844750785001004,208.71839450959916,7.88,Rice,11.03
Rajasthan,61,39,93,20.889213314670307,122.60679485210065,7.65,Rice,6.99
Nagaland,71,62,34,23.827799659636153,195.17508721288965,7.12,Maize,9.66
Tamil Nadu,73,65,101,25.489771182573026,52.59275049881067,5.98,Maize,5.59
Sikkim,24,93,11,31.2626792721113,117.53061989289088,6.88,Maize,7.13
Uttarakhand,96,14,28,33.522394419601504,126.19840673091976,7.09,Sugarcane,9.06
Goa,26,56,146,30.873049086093697,105.22272546427476,5.62,Sugarcane,6.76
Manipur,115,36,143,29.561623424202445,120.41503530619704,7.98,Maize,8.87
Andhra Pradesh,100,61,35,34.35152636692224,203.25853401013433,7.27,Wheat,11.53
Maharashtra,54,98,39,29.315302125238265,70.80951603717591,6.18,Cotton,6.14
Karnataka,36,41,63,25.226408107120765,175.98466363048271,7.77,Maize,8.52
Punjab,59,60,126,19.243809937196126,89.39176903322878,7.32,Wheat,5.79
Gujarat,69,80,33,25.996313888688224,85.9625330254573,7.57,Cotton,6.56
Madhya Pradesh,84,66,54,31.561627649262597,56.79575636934657,6.1,Rice,6.54
Goa,40,71,122,26.380346403037173,122.28122349373464,8.5,Cotton,7.11
Chhattisgarh,35,97,25,34.23755719332259,131.13141180884628,5.78,Rice,8.06
Chhattisgarh,20,30,91,29.54306130894452,247.007801980609,6.95,Rice,10.76
Meghalaya,26,37,27,28.097878528362905,105.08811439304928,5.78,Cotton,6.48
Odisha,40,38,10,21.337463384623376,199.8617827061106,7.85,Maize,8.93
Rajasthan,105,85,127,29.101195916496998,166.5708227417696,8.06,Rice,10.01
Mizoram,50,42,110,33.644734357954576,134.08510646431205,5.95,Rice,8.39
Jharkhand,105,99,22,25.121375576466093,178.70360789767219,6.06,Wheat,9.97
Assam,115,54,99,29.886121040358717,311.86767788230617,5.77,Rice,14.64
Mizoram,98,90,14,32.58282301447497,113.78078477611754,8.28,Wheat,8.63
Madhya Pradesh,64,46,54,33.78941727805634,166.5996260108646,8.43,Cotton,9.66
Mizoram,26,12,142,34.42303557664562,94.67720917023905,8.25,Wheat,6.8
Nagaland,95,14,103,25.301536424722844,219.23937892471008,8.5,Rice,11.01
Andhra Pradesh,52,15,37,20.646921088842078,158.3205052919162,6.65,Wheat,7.85
Manipur,58,11,73,34.91782675345621,114.10215717757757,8.45,Rice,8.07
Gujarat,89,62,92,25.275468653637446,44.56814042113287,7.0,Cotton,5.64
Andhra Pradesh,73,89,72,26.29847395649789,241.72138391252287,6.16,Cotton,11.34
Mizoram,105,18,82,28.987291569894857,145.0746330023369,7.34,Cotton,9.35
Tripura,56,99,85,23.798552809346514,136.73591817670194,8.21,Cotton,7.6
Manipur,100,62,81,25.56275000025157,155.63704327729596,6.65,Sugarcane,9.23
Sikkim,37,53,73,27.582548232416556,106.97870853119977,7.98,Maize,6.71
Mizoram,27,58,82,32.854458872489246,140.60325364827685,5.58,Rice,8.04
Tripura,108,87,92,33.10153213700601,158.92387087644556,7.05,Rice,10.24
Meghalaya,69,78,45,31.293822935851523,248.94894320591743,5.96,Wheat,11.98
Assam,27,35,127,27.916741875603755,227.87674305452853,8.38,Rice,10.17
Tamil Nadu,62,21,101,28.89294569264715,188.63877233613013,5.71,Maize,9.79
Meghalaya,87,77,131,23.253334094954443,211.15792575125883,5.69,Wheat,10.4
Assam,53,16,76,25.734846557124513,233.46866207323853,5.55,Rice,10.64
Odisha,86,43,94,28.436399117496457,194.03715375648918,7.48,Maize,10.38
Tripura,23,79,17,20.194653476463657,221.7604882210921,8.33,Maize,9.13
Uttar Pradesh,87,31,40,29.608541661672902,80.5594201468896,8.36,Wheat,7.12
West Bengal,78,62,88,25.83909040669915,226.67375004562174,7.13,Rice,10.94
Karnataka,51,30,41,29.35176661361746,53.4078583499314,7.52,Maize,5.56
Jharkhand,99,78,18,31.784909915850594,91.22906849530226,7.19,Sugarcane,7.9
Haryana,80,70,58,16.988358168275326,79.54866468138965,7.12,Wheat,5.69
Kerala,44,14,65,26.88837810987327,209.00005115453,6.87,Rice,9.84
Gujarat,67,35,111,37.94726521800406,118.52998679443178,5.55,Cotton,8.69
Telangana,46,63,95,32.52371323039435,197.56535101121875,8.33,Maize,10.1
Rajasthan,64,62,109,24.64255495195289,128.4523439597899,7.4,Cotton,7.6
Haryana,114,100,144,20.659479064540722,100.33683218592081,5.69,Wheat,7.36
Manipur,119,83,121,27.104495220671193,187.7883871450647,8.24,Sugarcane,10.72
Tamil Nadu,48,60,58,31.05504171102874,196.32407353703348,6.43,Maize,9.96
Nagaland,117,31,75,26.670614870938373,150.1910835213336,5.52,Sugarcane,9.51
Goa,103,66,63,31.90700158195903,86.32172478971094,7.14,Wheat,7.84
Mizoram,43,70,60,27.95194862222783,135.5953210426316,6.21,Wheat,7.72
Nagaland,24,14,95,22.47552990284082,181.11030856235618,6.96,Maize,8.16
Haryana,90,49,11,24.03860720825002,138.57443496686165,7.35,Wheat,8.36
Tamil Nadu,24,82,80,31.043531558561735,195.07879753084458,6.53,Maize,9.44
Meghalaya,35,90,134,34.585862515526145,93.60454674054498,6.25,Maize,6.97
Andhra Pradesh,45,64,120,20.99662747374654,138.3984544374731,5.85,Rice,7.15
Himachal Pradesh,57,22,33,24.1926153538776,142.45335834987753,7.69,Rice,7.83
Andhra Pradesh,21,52,107,33.69503673896905,218.16142935215456,7.77,Rice,10.33
Kerala,51,88,36,30.42143278203081,215.4054898999346,8.31,Rice,10.52
Madhya Pradesh,57,55,140,21.041984539982362,233.3783227037365,6.55,Maize,10.25
Madhya Pradesh,42,40,101,24.32116804940426,60.808069302714344,6.78,Cotton,5.1
Rajasthan,106,62,54,24.093921255300785,115.74132162594455,6.39,Wheat,8.0
Uttarakhand,76,11,42,27.653913762915877,234.85579037237204,6.22,Maize,11.33
Nagaland,66,16,106,26.91483289283291,160.23851039070786,8.35,Maize,8.82
Chhattisgarh,97,69,90,29.649167800186884,153.15181461707283,6.28,Sugarcane,9.5
Assam,98,49,41,26.566712693472045,213.7610520048328,6.37,Rice,11.03
Odisha,52,23,94,24.759145126396064,242.96773593046345,6.17,Sugarcane,10.8
Telangana,42,65,96,30.83508984778731,171.55529767209282,8.21,Maize,9.07
Tripura,74,28,20,24.61117543103538,77.67025956021212,6.2,Sugarcane,6.27
Tripura,24,54,95,31.007504982152913,102.08448494064297,7.14,Cotton,6.64
Karnataka,23,65,33,33.275184212595235,136.1108011193216,6.37,Maize,7.87
Kerala,28,71,49,31.23121915723072,219.82263801867336,7.48,Rice,10.28
Assam,115,63,84,25.11771097497966,277.27013597494397,6.29,Rice,13.13
Meghalaya,77,34,108,28.08150344484529,133.6898271801177,5.78,Wheat,8.36
Haryana,52,59,136,17.664551057814062,85.07217413424856,7.6,Wheat,5.36
Goa,69,20,150,20.152583465747405,138.74200451836154,7.77,Sugarcane,7.56
Manipur,27,75,105,28.617695571736796,183.56200603967847,7.9,Rice,8.91
Tamil Nadu,116,58,30,27.3442482622664,50.65216313773818,8.37,Maize,6.57
Uttar Pradesh,116,56,142,26.044468725469436,69.59756811248334,6.8,Wheat,7.01
Kerala,91,75,150,34.096968629511856,245.77984822935798,7.99,Rice,12.6
Haryana,110,44,33,26.747577110478765,139.14744480573438,7.64,Wheat,9.05
Goa,105,36,121,25.066499587582978,67.69486811635683,6.75,Sugarcane,6.64
Goa,20,64,111,30.413834660348464,155.72796066702142,6.8,Rice,8.11
Uttar Pradesh,88,59,30,27.73145220584839,70.48355786126547,6.6,Wheat,6.65
Kerala,74,94,116,30.445266125784812,300.04066133055267,6.53,Rice,13.53
West Bengal,47,84,69,31.06428136476299,263.1625284986922,8.3,Rice,11.94
Chhattisgarh,60,74,51,27.87060428808301,163.69543469379045,7.59,Sugarcane,8.9
Meghalaya,74,82,98,32.76141087566131,184.2004389916698,7.58,Maize,10.28
Himachal Pradesh,63,39,148,21.154651992943666,109.78139356397648,8.1,Maize,6.67
Assam,84,100,10,32.38408869030453,315.20300767637934,8.41,Rice,14.37
Assam,34,26,16,33.9281947542965,333.01316126504554,6.45,Rice,14.06
Tamil Nadu,51,77,134,26.81252047889686,81.07210006484053,6.86,Maize,6.13
Goa,98,61,47,25.68437998779863,247.6526788786188,7.07,Maize,11.96
Tripura,85,69,57,29.59792868876262,214.8028562036232,6.62,Sugarcane,11.1
Meghalaya,82,76,103,20.517152968951137,200.3771564473474,5.92,Maize,9.7
Karnataka,62,35,120,32.387764380694335,145.55498259380494,7.74,Maize,8.85
Odisha,54,62,10,24.154388904559113,65.94602668699056,5.84,Maize,5.47
Jharkhand,106,20,26,26.45493358842096,126.54134094842011,8.39,Wheat,8.56
West Bengal,65,76,108,26.21789886122469,293.6669403333507,6.54,Rice,12.73
Goa,99,37,86,32.90584783424044,100.68092238805393,5.98,Sugarcane,8.29
Uttar Pradesh,99,21,16,16.45603309766557,110.26382948188213,8.11,Wheat,6.93
Haryana,91,41,80,28.718642794978212,107.3792251845241,6.79,Wheat,7.91
Meghalaya,115,77,87,32.882756527579225,51.74977128021685,7.34,Sugarcane,7.14
Maharashtra,54,96,21,25.858267736905667,89.49562373670972,5.67,Cotton,6.35
Jharkhand,72,56,129,29.171558874577784,136.34990855596197,7.74,Sugarcane,8.45
Karnataka,22,69,40,31.099484909126495,136.3426083019386,5.81,Maize,7.64
Andhra Pradesh,109,15,137,31.70144812470009,75.52770905948205,5.76,Maize,7.62
Tamil Nadu,110,40,49,26.51336073087195,97.11315491347845,6.45,Maize,7.76
Madhya Pradesh,119,31,30,34.45181446324789,107.76309035473002,5.64,Rice,9.06
Maharashtra,89,46,29,32.97641943031,57.67886966569315,5.81,Cotton,6.81
Himachal Pradesh,37,45,97,31.816948469023668,139.52043065384362,5.92,Sugarcane,8.11
Arunachal Pradesh,97,15,63,22.523918794464194,174.35731107526732,7.26,Sugarcane,9.42
Mizoram,35,100,16,34.26324672586146,80.83172425295683,5.78,Cotton,6.55
Kerala,74,23,15,25.001171271097373,237.05264482721975,6.37,Rice,11.09
Chhattisgarh,22,44,149,24.79972628859714,204.64768580968703,6.3,Cotton,9.06
Haryana,71,72,86,20.210768447474464,123.75656577825823,8.21,Wheat,7.15
Madhya Pradesh,32,83,34,25.37399049155623,56.92124104153278,7.38,Rice,4.89
Andhra Pradesh,104,70,135,30.656690117133465,111.23557267864436,7.65,Wheat,8.48
Odisha,26,87,24,24.518573966805654,248.10156865451148,6.43,Maize,10.41
Tripura,68,24,89,24.563710857119972,53.570824793741664,5.5,Rice,5.42
Meghalaya,100,12,86,27.628597052609265,215.53763903403396,7.26,Wheat,11.23
Odisha,59,71,101,33.86377873809779,60.54972914992294,7.47,Cotton,6.38
Jharkhand,59,75,98,30.89505268915332,206.86115549407532,5.82,Wheat,10.48
Jharkhand,35,89,125,25.61274415180567,154.8861299594056,6.91,Cotton,7.91
Sikkim,34,95,136,25.823963513998063,69.53946689392079,8.32,Rice,5.35
Tamil Nadu,109,11,38,26.833301144589658,185.29871378090317,7.86,Maize,10.42
Manipur,55,32,140,32.072983130037315,139.89719141405857,6.12,Wheat,8.5
Meghalaya,42,35,117,24.992013526687614,91.49710084498685,7.97,Sugarcane,6.08
Madhya Pradesh,86,56,105,24.25670747750561,234.79699113164335,5.81,Sugarcane,11.19
West Bengal,73,46,65,31.176149030353645,302.65435105391526,7.83,Rice,13.66
Goa,63,60,39,30.151001401638986,179.58786514876567,7.59,Cotton,9.66
Karnataka,47,32,125,30.287712234254695,174.23557733913003,6.33,Maize,9.2
Nagaland,53,76,105,24.779841300459147,134.56931974772417,5.72,Wheat,7.58
Sikkim,61,34,106,23.112756612996055,101.10927814136379,8.26,Wheat,6.56
Manipur,62,84,112,24.771703602537613,211.2492537623092,5.76,Cotton,10.05
Haryana,118,27,59,21.49746068935098,50.61748010083256,7.76,Wheat,6.03
Sikkim,55,72,124,24.88508883544113,82.75443398434695,7.7,Sugarcane,6.07
Haryana,27,57,47,18.250864143063417,147.24339922801514,7.49,Wheat,6.78
Bihar,93,47,147,33.34657156845077,102.00347012667388,7.91,Rice,8.25
Arunachal Pradesh,53,65,150,31.791072188843337,209.12271498191606,7.74,Maize,10.51
Gujarat,69,94,123,33.71459550300453,109.99404129571249,7.14,Cotton,8.05
Arunachal Pradesh,94,54,129,25.72603710838846,103.87371778332262,6.56,Sugarcane,7.57
Andhra Pradesh,41,94,120,26.542733349817276,192.0619685167991,7.3,Wheat,9.24
Goa,80,64,13,26.852038319983368,108.08699720922527,5.74,Maize,7.53
Rajasthan,40,45,46,24.80219634289485,200.53191028746656,6.73,Sugarcane,9.3
Assam,100,64,120,31.55100864200884,218.17870804377083,6.96,Rice,11.7
Tamil Nadu,41,36,32,27.9361158846828,93.95013400408666,7.88,Maize,6.43
Goa,96,20,49,22.57639710056605,146.22541376820936,7.77,Sugarcane,8.56
Rajasthan,82,58,110,21.171065384507155,239.748999564219,7.05,Rice,10.95
Telangana,70,99,48,31.377157373590393,194.97454634204087,5.63,Maize,10.39
Jharkhand,75,11,73,20.787515197712636,217.8603999970789,6.33,Rice,10.11
Manipur,66,81,113,28.41394478428044,126.3383379311299,7.88,Cotton,7.95
Nagaland,20,12,11,26.701262792165274,176.25013149054072,8.22,Maize,8.36
Himachal Pradesh,108,39,25,34.93092217579789,186.99200296482792,7.62,Rice,11.26
West Bengal,105,71,101,27.8833720894737,227.3709900199309,8.01,Rice,11.71
Gujarat,105,42,50,33.183308389459135,43.12674931455351,6.47,Cotton,6.71
Rajasthan,79,59,64,28.773333970766895,78.10989746217058,8.21,Maize,6.8
Chhattisgarh,117,17,75,28.664125570864996,188.40197168288043,7.52,Cotton,10.86
Kerala,41,70,138,30.885361035242568,259.16018037706266,5.64,Rice,11.68
Telangana,87,28,91,30.646438889208472,63.518502581650225,7.27,Maize,6.71
Gujarat,116,79,55,26.58470178160486,73.46026593362117,6.31,Cotton,7.18
Assam,117,77,70,26.412116193053357,219.24342227682203,8.44,Rice,11.56
Maharashtra,55,89,148,28.36481831405447,76.08562759642575,6.48,Cotton,6.22
Meghalaya,27,42,67,23.263983553988076,198.14269231725123,6.37,Wheat,8.81
Tamil Nadu,55,90,134,32.019757408939434,95.4797930897631,5.72,Maize,7.17
Tamil Nadu,51,43,125,29.63577429253212,156.82508354464665,7.85,Maize,8.69
Odisha,68,65,43,27.779810919590986,61.267537634554394,6.89,Maize,5.98
Sikkim,118,38,138,20.054548480890954,179.16759323468233,8.39,Maize,9.74
Kerala,103,88,93,28.66467231741787,213.14279001476345,7.15,Rice,11.32
Gujarat,39,97,84,25.689907026033072,93.82691612009634,5.6,Cotton,6.16
Uttar Pradesh,56,46,139,26.397278269471027,65.86405530195722,6.54,Wheat,5.74
Jharkhand,108,57,19,33.96778359429279,207.8369831189807,7.28,Sugarcane,11.79
Kerala,45,75,14,32.13956387238093,316.87246079517496,6.88,Rice,13.62
Sikkim,88,77,92,28.86351224689654,115.40099399494379,6.47,Rice,8.11
Rajasthan,61,83,58,24.729984305643804,192.56719517670876,6.94,Wheat,9.47
Maharashtra,100,17,120,25.95986210800147,58.57472008945844,7.99,Cotton,6.35
Rajasthan,117,62,86,24.808089237319727,106.91735696378575,5.81,Cotton,8.03
Mizoram,26,73,150,24.095428839268823,126.07557041771315,6.94,Wheat,6.71
Maharashtra,104,62,138,32.843907742918816,75.7492616454442,5.77,Cotton,7.64
Goa,31,35,115,29.10394902609434,79.05940673580744,8.3,Cotton,5.9
Karnataka,82,15,150,33.04734125999798,134.95927931132013,6.69,Maize,8.99
Rajasthan,23,97,124,33.46187337989508,121.35940954513129,5.96,Wheat,7.45
Uttarakhand,85,39,32,26.732111223502883,165.4961999214444,7.42,Cotton,9.34
Madhya Pradesh,77,92,95,20.84864619705328,78.01158552377726,7.74,Cotton,5.97
Mizoram,22,28,71,26.671865555319425,61.73454139694476,5.88,Rice,4.96
Andhra Pradesh,85,35,128,31.045183470062202,56.46366881651343,8.37,Cotton,6.5
Punjab,50,50,79,19.726843596307972,132.11341222721262,7.73,Wheat,6.94
Kerala,76,13,89,29.867865418675272,297.1804156153808,7.3,Rice,13.42
Tripura,84,30,56,27.790963079409607,206.98850299190826,7.68,Wheat,10.67
Goa,65,40,124,31.456169477999524,69.76874765139527,8.09,Rice,6.54
Maharashtra,39,61,114,32.068829385338425,92.41590513335288,8.09,Cotton,6.76
Goa,46,68,85,28.010956859342194,131.10741618118507,5.76,Wheat,7.65
Sikkim,103,35,12,34.53489707340523,92.32939747002092,7.82,Sugarcane,8.28
Meghalaya,116,78,134,26.41725340953499,166.2572828954634,6.04,Rice,9.95
Telangana,28,63,103,29.46722653953964,148.9771926622745,8.11,Maize,7.98
Assam,20,81,115,29.209112207305388,254.8206195769035,8.32,Rice,10.97
Uttar Pradesh,69,53,104,19.930840371433405,134.14462182765902,7.99,Wheat,7.4
Punjab,84,39,134,26.427314735280298,96.15053955937339,6.05,Wheat,7.21
Meghalaya,65,100,110,21.40432380122163,73.78744031111597,7.22,Wheat,5.65
Himachal Pradesh,112,24,124,32.39117261531268,167.3116142446287,8.37,Maize,10.5
Tripura,115,73,78,20.469181216994492,85.38610076757438,7.06,Sugarcane,6.91
Himachal Pradesh,98,65,109,33.29630098933102,129.0827282687898,6.65,Wheat,9.16
Telangana,99,88,32,25.376134697603245,152.73213366168247,6.05,Maize,9.1
Chhattisgarh,30,86,92,30.85059719216759,65.75766911771515,5.74,Wheat,5.66
Assam,43,13,68,25.045656130384124,238.8216587157682,7.44,Rice,10.53
Sikkim,93,65,127,20.33495927341698,82.47946474967014,8.15,Sugarcane,6.37
Goa,43,96,67,23.38208918595774,242.41749486791338,6.32,Wheat,10.47
Meghalaya,62,65,73,20.744675653576255,200.82033072614257,7.77,Maize,9.34
Goa,38,58,119,25.799776152288793,97.17347191797887,7.9,Cotton,6.26
Manipur,99,38,112,28.204864879229252,62.34173697227683,6.04,Wheat,6.67
Arunachal Pradesh,63,55,36,23.136022832130692,246.28231286764404,8.14,Wheat,10.96
Andhra Pradesh,51,19,96,30.53691149029669,147.26353465086243,7.97,Maize,8.49
Haryana,28,74,29,21.572909431163385,130.06487160856176,7.6,Wheat,6.62
Haryana,110,57,14,28.32654711181187,135.96110755150892,6.32,Wheat,9.11
Kerala,114,48,124,27.43409335892681,211.64399004502545,7.77,Rice,11.37
Mizoram,99,48,132,26.319272325349065,68.5519730652689,7.46,Rice,6.67
Maharashtra,100,77,64,28.697297437220303,70.97383451629514,8.49,Cotton,7.0
Bihar,45,20,132,30.07992405541094,81.07711575084187,5.57,Maize,6.34
Madhya Pradesh,34,11,115,23.193258672747834,215.3090659724537,7.56,Maize,9.46
Telangana,86,48,27,26.05396536210947,147.42717953843066,8.14,Maize,8.75
Meghalaya,25,84,124,34.891171111152424,208.6273492932631,8.29,Sugarcane,10.25
Chhattisgarh,92,52,115,22.045056808480485,141.11758763759008,8.07,Cotton,8.28
Manipur,63,39,44,24.63736361996371,173.21714801977024,6.68,Cotton,8.92
Odisha,78,52,145,22.892249435662347,177.14521061559378,5.52,Rice,9.16
Meghalaya,99,84,35,27.423386252047134,121.72706170723701,7.49,Sugarcane,8.37
Telangana,29,89,49,32.03843682161339,110.71149377205188,6.1,Maize,7.11
Arunachal Pradesh,41,87,98,22.980712248865522,79.59134300533977,6.2,Maize,5.51
Telangana,36,20,127,27.290822596236218,68.2312424314776,6.47,Maize,5.5
Mizoram,34,50,55,27.588523091812323,201.71186333100772,6.16,Maize,9.49
Assam,68,86,30,32.774214142294014,288.48108399745,8.15,Rice,13.29
Chhattisgarh,74,46,51,28.135048517407636,63.82554982830165,6.96,Sugarcane,6.21
Manipur,27,72,63,28.298871459122246,203.70020987125693,6.9,Cotton,9.48
Chhattisgarh,22,67,140,33.19261454544381,186.75897999011565,7.35,Cotton,9.36
Goa,96,98,54,29.017762580767982,225.90437938456105,6.9,Sugarcane,11.6
Jharkhand,61,76,123,33.07060101020883,162.00278832825543,6.61,Maize,9.39
Meghalaya,36,12,20,30.652336227563907,90.13352950866991,8.31,Wheat,6.49
Goa,118,80,53,31.626935968978035,103.66224259335384,7.67,Maize,8.63
Haryana,77,46,34,29.44050940329013,50.97169373122058,6.3,Wheat,6.01
Sikkim,112,35,47,23.999198557295113,243.70783001440876,7.06,Sugarcane,11.95
Nagaland,53,30,75,32.62285830197604,148.56721043432123,7.3,Wheat,8.78
Sikkim,109,67,18,30.248931989381674,54.57792705153339,5.77,Sugarcane,6.84
Jharkhand,74,23,149,33.911162968076546,110.23223529135208,7.84,Sugarcane,8.18
Tamil Nadu,42,92,29,31.87657980561785,103.11673851296314,5.98,Maize,7.12
Tamil Nadu,33,18,22,32.678406690131915,81.46245763747483,8.06,Maize,6.37
Tamil Nadu,77,14,53,26.809981044903456,60.35226449534264,6.06,Maize,6.03
Chhattisgarh,57,25,118,22.097225835830155,66.79186075012014,5.59,Wheat,5.35
Telangana,102,36,14,31.743403898298453,164.2637713653461,8.08,Maize,10.14
Sikkim,117,31,81,31.285104670123424,70.45709413209455,8.12,Sugarcane,7.58
Jharkhand,89,78,37,28.763395883767387,136.16328661532782,7.69,Rice,8.74
Haryana,115,30,34,23.487058811419665,66.27427923189913,5.51,Wheat,6.64
Bihar,56,28,60,22.52345181479825,155.48255698568687,8.45,Wheat,8.04
